Movie_ID,title,year,rating,rating_count,genre,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Mystery,Talk-Show,War,Film-Noir,Game-Show,History,Horror,Music,Musical,Reality-TV,News,Romance,Sci-Fi,Sport,Thriller,Western
393,Hamlet ,1990,6.7,20871,"Drama,18 January 1991 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,Transamerica ,2005,7.4,39830,"Adventure,Comedy,Drama,3 March 2006 (USA)
",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,Green Card ,1990,6.2,21921,"Comedy,Drama,Romance,1 February 1991 (USA)
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
396,Lorenzo's Oil ,1992,7.3,19991,"Drama,29 January 1993 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,The Portrait of a Lady ,1996,6.2,10559,"Drama,Romance,17 January 1997 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
398,Mr. Turner ,2014,6.8,23778,"Biography,Drama,History,6 November 2014 (Germany)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
399,The Messenger ,2009,7.1,33383,"Drama,Romance,War,4 December 2009 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
400,Bullets Over Broadway ,1994,7.4,34559,"Comedy,Crime,24 February 1995 (USA)
",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,Persepolis ,2007,8.0,86323,"Animation,Biography,Drama,22 February 2008 (USA)
",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,Babe: Pig in the City ,1998,5.7,30908,"Adventure,Comedy,Drama,25 November 1998 (USA)
",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Albert Nobbs ,2011,6.7,22989,"Drama,Romance,26 September 2013 (Germany)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
404,After the Wedding ,2006,7.7,30967,"Drama,11 May 2007 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,Richard III ,1995,7.4,13476,"Drama,Sci-Fi,War,29 December 1995 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
406,The 100 Year-Old Man Who Climbed Out the Window and Disappeared ,2013,7.1,37368,"Adventure,Comedy,8 May 2015 (USA)
",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,Titus ,1999,7.1,19347,"Drama,History,Thriller,11 February 2000 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
408,Shadowlands ,1993,7.3,16570,"Biography,Drama,Romance,14 January 1994 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
409,Bright Star ,2009,6.9,24838,"Biography,Drama,Romance,9 October 2009 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
410,Pollock ,2000,7.0,26391,"Biography,Drama,23 March 2001 (USA)
",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,Rabbit Hole ,2010,7.0,46508,"Drama,28 January 2011 (USA)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,The Broken Circle Breakdown ,2012,7.8,38339,"Drama,Music,Romance,25 April 2013 (Germany)
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
413,Quest for Camelot ,1998,6.3,14323,"Animation,Adventure,Comedy,15 May 1998 (USA)
",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
