title,year,rating,rating_count,genre
Star Wars: Episode VIII - The Last Jedi ,2017,7.0,"541,782","Action,Adventure,Fantasy,15 December 2017 (USA)
"
Gangs of New York ,2002,7.5,"393,506","Crime,Drama,20 December 2002 (USA)
"
Iron Man ,2008,7.9,"914,076","Action,Adventure,Sci-Fi,2 May 2008 (USA)
"
That Thing You Do! ,1996,6.9,"60,538","Comedy,Drama,Music,4 October 1996 (USA)
"
The Ballad of Buster Scruggs ,2018,7.3,"111,623","Comedy,Drama,Musical,9 November 2018 (USA)
"
Basic Instinct ,1992,7.0,"166,619","Drama,Mystery,Thriller,20 March 1992 (USA)
"
Changeling ,2008,7.7,"231,464","Biography,Crime,Drama,31 October 2008 (USA)
"
Romeo + Juliet ,1996,6.7,"204,954","Drama,Romance,1 November 1996 (USA)
"
Iron Man 3 ,2013,7.2,"734,243","Action,Adventure,Sci-Fi,3 May 2013 (USA)
"
Captain America: The Winter Soldier ,2014,7.7,"712,908","Action,Adventure,Sci-Fi,4 April 2014 (USA)
"
Spotlight ,2015,8.1,"400,571","Biography,Crime,Drama,20 November 2015 (USA)
"
Star Wars: Episode III - Revenge of the Sith ,2005,7.5,"688,902","Action,Adventure,Fantasy,19 May 2005 (USA)
"
Billy Elliot ,2000,7.7,"122,677","Drama,Music,10 November 2000 (USA)
"
Fargo ,1996,8.1,"595,286","Crime,Drama,Thriller,5 April 1996 (USA)
"
Star Trek ,2009,7.9,"569,542","Action,Adventure,Sci-Fi,8 May 2009 (USA)
"
Speed ,1994,7.2,"319,334","Action,Adventure,Thriller,10 June 1994 (USA)
"
Home Alone ,1990,7.6,"447,957","Comedy,Family,16 November 1990 (USA)
"
Inside Out ,2015,8.1,"585,200","Animation,Adventure,Comedy,19 June 2015 (USA)
"
Harriet ,2019,6.4,"14,473","Action,Biography,Drama,1 November 2019 (USA)
"
Nightcrawler ,2014,7.8,"442,324","Crime,Drama,Thriller,31 October 2014 (USA)
"
Mrs. Doubtfire ,1993,7.0,"236,965","Comedy,Drama,Family,24 November 1993 (USA)
"
Spider-Man 2 ,2004,7.3,"528,412","Action,Adventure,Sci-Fi,30 June 2004 (USA)
"
American Hustle ,2013,7.2,"437,437","Crime,Drama,20 December 2013 (USA)
"
Jackie Brown ,1997,7.5,"306,088","Crime,Drama,Thriller,25 December 1997 (USA)
"
The Hobbit: The Desolation of Smaug ,2013,7.8,"587,471","Adventure,Fantasy,13 December 2013 (USA)
"
Manchester by the Sea ,2016,7.8,"235,277","Drama,16 December 2016 (USA)
"
The Master ,2012,7.2,"147,587","Drama,21 September 2012 (USA)
"
Argo ,2012,7.7,"559,493","Biography,Drama,Thriller,12 October 2012 (USA)
"
The Fugitive ,1993,7.8,"259,361","Action,Crime,Drama,6 August 1993 (USA)
"
Ratatouille ,2007,8.0,"618,916","Animation,Adventure,Comedy,29 June 2007 (USA)
"
Mulan ,1998,7.6,"241,403","Animation,Adventure,Family,19 June 1998 (USA)
"
The Lobster ,2015,7.2,"206,506","Comedy,Drama,Romance,23 June 2016 (Germany)
"
Vice ,2018,7.2,"109,515","Biography,Comedy,Drama,25 December 2018 (USA)
"
Lion ,2016,8.0,"203,497","Biography,Drama,6 January 2017 (USA)
"
Slumdog Millionaire ,2008,8.0,"781,507","Drama,Romance,25 December 2008 (USA)
"
The Addams Family ,1991,6.9,"125,730","Comedy,Fantasy,22 November 1991 (USA)
"
Million Dollar Baby ,2004,8.1,"617,568","Drama,Sport,28 January 2005 (USA)
"
Big Fish ,2003,8.0,"405,367","Adventure,Drama,Fantasy,9 January 2004 (USA)
"
Dick Tracy ,1990,6.1,"56,064","Action,Comedy,Crime,15 June 1990 (USA)
"
Dallas Buyers Club ,2013,8.0,"426,038","Biography,Drama,22 November 2013 (USA)
"
Mystic River ,2003,7.9,"408,253","Crime,Drama,Mystery,15 October 2003 (USA)
"
Mudbound ,2017,7.4,"39,647","Drama,War,17 November 2017 (USA)
"
Little Women ,1994,7.3,"49,478","Drama,Family,Romance,25 December 1994 (USA)
"
L.A. Confidential ,1997,8.2,"517,376","Crime,Drama,Mystery,19 September 1997 (USA)
"
Finding Nemo ,2003,8.1,"920,297","Animation,Adventure,Comedy,30 May 2003 (USA)
"
Cold Mountain ,2003,7.2,"137,174","Adventure,Drama,History,25 December 2003 (USA)
"
The Mask ,1994,6.9,"334,424","Action,Comedy,Crime,29 July 1994 (USA)
"
Star Trek Into Darkness ,2013,7.7,"456,673","Action,Adventure,Sci-Fi,16 May 2013 (USA)
"
Up ,2009,8.2,"903,042","Animation,Adventure,Comedy,29 May 2009 (USA)
"
Judy ,2019,6.8,"31,772","Biography,Drama,Romance,4 October 2019 (USA)
"
TRON: Legacy ,2010,6.8,"307,258","Action,Adventure,Sci-Fi,17 December 2010 (USA)
"
Sleepy Hollow ,1999,7.3,"320,176","Fantasy,Horror,Mystery,19 November 1999 (USA)
"
Fantastic Mr. Fox ,2009,7.9,"190,451","Animation,Adventure,Comedy,25 November 2009 (USA)
"
The Devil Wears Prada ,2006,6.9,"358,893","Comedy,Drama,30 June 2006 (USA)
"
Up in the Air ,2009,7.4,"312,370","Comedy,Drama,Romance,23 December 2009 (USA)
"
Blood Diamond ,2006,8.0,"485,693","Adventure,Drama,Thriller,8 December 2006 (USA)
"
Hollow Man ,2000,5.8,"120,648","Action,Horror,Sci-Fi,4 August 2000 (USA)
"
Contact ,1997,7.4,"246,911","Drama,Mystery,Sci-Fi,11 July 1997 (USA)
"
X-Men: Days of Future Past ,2014,8.0,"646,414","Action,Adventure,Sci-Fi,23 May 2014 (USA)
"
Incendies ,2010,8.3,"139,545","Drama,Mystery,War,23 June 2011 (Germany)
"
Moonrise Kingdom ,2012,7.8,"308,514","Comedy,Drama,Romance,29 June 2012 (USA)
"
Batman Returns ,1992,7.0,"266,491","Action,Crime,Fantasy,19 June 1992 (USA)
"
Ted ,2012,6.9,"558,898","Comedy,29 June 2012 (USA)
"
The Impossible ,2012,7.6,"190,356","Drama,History,Thriller,4 January 2013 (USA)
"
Lincoln ,2012,7.3,"238,680","Biography,Drama,History,16 November 2012 (USA)
"
Collateral ,2004,7.5,"349,420","Crime,Drama,Thriller,6 August 2004 (USA)
"
Lone Survivor ,2013,7.5,"259,562","Action,Biography,Drama,10 January 2014 (USA)
"
Backdraft ,1991,6.7,"69,379","Crime,Drama,Mystery,24 May 1991 (USA)
"
Sweeney Todd: The Demon Barber of Fleet Street ,2007,7.3,"335,251","Drama,Horror,Musical,21 December 2007 (USA)
"
A.I. Artificial Intelligence ,2001,7.2,"284,730","Drama,Sci-Fi,29 June 2001 (USA)
"
Magnolia ,1999,8.0,"282,417","Drama,7 January 2000 (USA)
"
Revolutionary Road ,2008,7.3,"189,499","Drama,Romance,23 January 2009 (USA)
"
Sleepers ,1996,7.6,"182,628","Crime,Drama,Thriller,18 October 1996 (USA)
"
Gattaca ,1997,7.8,"273,564","Drama,Sci-Fi,Thriller,24 October 1997 (USA)
"
Juno ,2007,7.4,"481,106","Comedy,Drama,25 December 2007 (USA)
"
Transformers: Revenge of the Fallen ,2009,6.0,"377,328","Action,Adventure,Sci-Fi,24 June 2009 (USA)
"
Con Air ,1997,6.9,"269,062","Action,Crime,Thriller,6 June 1997 (USA)
"
Beauty and the Beast ,1991,8.0,"408,030","Animation,Family,Fantasy,22 November 1991 (USA)
"
Toy Story 3 ,2010,8.3,"733,413","Animation,Adventure,Comedy,18 June 2010 (USA)
"
The Theory of Everything ,2014,7.7,"386,456","Biography,Drama,Romance,26 November 2014 (USA)
"
Enchanted ,2007,7.0,"172,669","Animation,Comedy,Family,21 November 2007 (USA)
"
The Big Sick ,2017,7.5,"115,579","Comedy,Drama,Romance,14 July 2017 (USA)
"
Meet the Parents ,2000,7.0,"304,115","Comedy,Romance,6 October 2000 (USA)
"
The Phantom of the Opera ,2004,7.3,"113,897","Drama,Musical,Romance,16 December 2004 (Germany)
"
Steve Jobs ,2015,7.2,"148,648","Biography,Drama,23 October 2015 (USA)
"
The Royal Tenenbaums ,2001,7.6,"258,839","Comedy,Drama,4 January 2002 (USA)
"
Brooklyn ,2015,7.5,"126,351","Drama,Romance,25 November 2015 (USA)
"
My Big Fat Greek Wedding ,2002,6.5,"117,307","Comedy,Drama,Romance,2 August 2002 (USA)
"
The Queen ,2006,7.3,"101,686","Biography,Drama,History,17 November 2006 (USA)
"
The Talented Mr. Ripley ,1999,7.4,"176,075","Crime,Drama,Thriller,25 December 1999 (USA)
"
Lemony Snicket's A Series of Unfortunate Events ,2004,6.8,"191,762","Adventure,Comedy,Family,17 December 2004 (USA)
"
Fried Green Tomatoes ,1991,7.7,"64,764","Drama,24 January 1992 (USA)
"
Munich ,2005,7.5,"206,650","Action,Drama,History,6 January 2006 (USA)
"
Creed ,2015,7.6,"239,774","Drama,Sport,25 November 2015 (USA)
"
Ghost ,1990,7.0,"190,274","Drama,Fantasy,Romance,13 July 1990 (USA)
"
The Assassination of Jesse James by the Coward Robert Ford ,2007,7.5,"164,425","Biography,Crime,Drama,19 October 2007 (USA)
"
The Time Machine ,2002,6.0,"116,694","Action,Adventure,Sci-Fi,8 March 2002 (USA)
"
Salt ,2010,6.4,"289,333","Action,Mystery,Thriller,23 July 2010 (USA)
"
Eastern Promises ,2007,7.6,"222,395","Action,Crime,Drama,21 September 2007 (USA)
"
Captain Phillips ,2013,7.8,"408,343","Biography,Crime,Drama,11 October 2013 (USA)
"
The Age of Innocence ,1993,7.2,"49,393","Drama,Romance,1 October 1993 (USA)
"
Bridget Jones's Diary ,2001,6.7,"218,297","Comedy,Drama,Romance,13 April 2001 (USA)
"
The Wife ,2017,7.2,"32,431","Drama,3 January 2019 (Germany)
"
Anastasia ,1997,7.2,"108,366","Animation,Adventure,Drama,21 November 1997 (USA)
"
Rango ,2011,7.2,"228,984","Animation,Adventure,Comedy,4 March 2011 (USA)
"
Monster ,2003,7.3,"131,543","Biography,Crime,Drama,30 January 2004 (USA)
"
Dawn of the Planet of the Apes ,2014,7.6,"404,426","Action,Adventure,Drama,11 July 2014 (USA)
"
Real Steel ,2011,7.1,"291,662","Action,Drama,Family,7 October 2011 (USA)
"
The Hours ,2002,7.5,"121,584","Drama,Romance,14 February 2003 (USA)
"
Gosford Park ,2001,7.2,"78,130","Comedy,Drama,Mystery,18 January 2002 (USA)
"
Sleepless in Seattle ,1993,6.8,"153,707","Comedy,Drama,Romance,25 June 1993 (USA)
"
Babel ,2006,7.4,"283,538","Drama,10 November 2006 (USA)
"
The Descendants ,2011,7.3,"229,059","Comedy,Drama,9 December 2011 (USA)
"
Inside Llewyn Davis ,2013,7.5,"134,118","Comedy,Drama,Music,10 January 2014 (USA)
"
Winter's Bone ,2010,7.2,"132,704","Drama,Mystery,16 July 2010 (USA)
"
U-571 ,2000,6.6,"74,996","Action,War,21 April 2000 (USA)
"
Defiance ,2008,7.2,"134,999","Action,Drama,History,16 January 2009 (USA)
"
Blue Jasmine ,2013,7.3,"187,734","Drama,23 August 2013 (USA)
"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,2006,7.3,"344,400","Comedy,3 November 2006 (USA)
"
The Nightmare Before Christmas ,1993,8.0,"283,213","Animation,Family,Fantasy,29 October 1993 (USA)
"
Death Becomes Her ,1992,6.6,"99,407","Comedy,Fantasy,Horror,31 July 1992 (USA)
"
Bolt ,2008,6.8,"184,294","Animation,Adventure,Comedy,21 November 2008 (USA)
"
Bicentennial Man ,1999,6.9,"107,472","Comedy,Drama,Sci-Fi,17 December 1999 (USA)
"
First Reformed ,2017,7.1,"43,837","Drama,Mystery,Thriller,18 May 2018 (USA)
"
The Wrestler ,2008,7.9,"284,929","Drama,Sport,30 January 2009 (USA)
"
Norbit ,2007,4.1,"66,517","Comedy,Romance,9 February 2007 (USA)
"
Youth ,2015,7.3,"69,059","Comedy,Drama,Music,4 December 2015 (USA)
"
Begin Again ,2013,7.4,"138,083","Comedy,Drama,Music,11 July 2014 (USA)
"
Under Siege ,1992,6.5,"74,279","Action,Thriller,9 October 1992 (USA)
"
Amistad ,1997,7.3,"69,145","Biography,Drama,History,25 December 1997 (USA)
"
Rio ,2011,6.9,"200,914","Animation,Adventure,Comedy,15 April 2011 (USA)
"
The Kids Are All Right ,2010,7.0,"123,767","Comedy,Drama,Romance,30 July 2010 (USA)
"
The Good Shepherd ,2006,6.7,"96,784","Drama,History,Thriller,22 December 2006 (USA)
"
The Boss Baby ,2017,6.3,"103,771","Animation,Adventure,Comedy,31 March 2017 (USA)
"
Can You Ever Forgive Me? ,2018,7.1,"43,455","Biography,Comedy,Crime,21 February 2019 (Germany)
"
Monster's Ball ,2001,7.0,"80,934","Drama,Romance,1 March 2002 (USA)
"
James and the Giant Peach ,1996,6.7,"58,520","Animation,Adventure,Family,12 April 1996 (USA)
"
Sling Blade ,1996,8.0,"85,223","Drama,14 March 1997 (USA)
"
How the Grinch Stole Christmas ,2000,6.2,"196,983","Comedy,Family,Fantasy,17 November 2000 (USA)
"
My Week with Marilyn ,2011,7.0,"81,828","Biography,Drama,23 December 2011 (USA)
"
Babe ,1995,6.7,"114,128","Comedy,Drama,Family,4 August 1995 (USA)
"
Finding Neverland ,2004,7.7,"195,449","Biography,Drama,Family,17 December 2004 (USA)
"
Despicable Me 2 ,2013,7.3,"360,839","Animation,Adventure,Comedy,3 July 2013 (USA)
"
Barton Fink ,1991,7.7,"109,794","Comedy,Drama,Thriller,21 August 1991 (USA)
"
Brother Bear ,2003,6.8,"93,238","Animation,Adventure,Comedy,7 November 2003 (USA)
"
In the Bedroom ,2001,7.4,"36,641","Crime,Drama,8 February 2002 (USA)
"
Happy Feet ,2006,6.4,"165,576","Animation,Adventure,Comedy,17 November 2006 (USA)
"
"South Park: Bigger, Longer & Uncut ",1999,7.7,"188,870","Animation,Comedy,Fantasy,30 June 1999 (USA)
"
The Iron Lady ,2011,6.4,"100,449","Biography,Drama,13 January 2012 (USA)
"
The Straight Story ,1999,8.0,"79,111","Biography,Drama,2 December 1999 (Germany)
"
The Lover ,1992,6.9,"18,463","Biography,Drama,Romance,30 October 1992 (USA)
"
Daylight ,1996,5.9,"64,338","Action,Adventure,Drama,6 December 1996 (USA)
"
I Am Love ,2009,7.0,"19,687","Drama,Romance,23 July 2010 (USA)
"
Poseidon ,2006,5.7,"95,938","Action,Adventure,Thriller,12 May 2006 (USA)
"
Kung Fu Panda 2 ,2011,7.2,"244,681","Animation,Action,Adventure,26 May 2011 (USA)
"
Star Trek: First Contact ,1996,7.6,"115,258","Action,Adventure,Drama,22 November 1996 (USA)
"
Kubo and the Two Strings ,2016,7.8,"113,793","Animation,Action,Adventure,19 August 2016 (USA)
"
Breaking the Waves ,1996,7.8,"60,580","Drama,13 November 1996 (USA)
"
Embrace of the Serpent ,2015,7.9,"19,656","Adventure,Drama,21 April 2016 (Germany)
"
The Wolfman ,2010,5.8,"101,157","Drama,Fantasy,Horror,12 February 2010 (USA)
"
Invictus ,2009,7.3,"146,545","Biography,Drama,History,11 December 2009 (USA)
"
The Fisher King ,1991,7.5,"77,021","Comedy,Drama,Fantasy,27 September 1991 (USA)
"
Crimson Tide ,1995,7.3,"98,074","Action,Drama,Thriller,12 May 1995 (USA)
"
United 93 ,2006,7.5,"96,442","Drama,History,Thriller,28 April 2006 (USA)
"
Land of Mine ,2015,7.8,"32,927","Drama,History,War,7 April 2016 (Germany)
"
Hereafter ,2010,6.4,"89,216","Drama,Fantasy,Romance,22 October 2010 (USA)
"
Velvet Goldmine ,1998,7.0,"33,022","Drama,Music,26 November 1998 (Germany)
"
The Client ,1994,6.7,"57,768","Crime,Drama,Mystery,20 July 1994 (USA)
"
Eraser ,1996,6.1,"101,213","Action,Drama,Thriller,21 June 1996 (USA)
"
August Rush ,2007,7.5,"101,857","Drama,Music,21 November 2007 (USA)
"
Frost/Nixon ,2008,7.7,"100,364","Biography,Drama,History,23 January 2009 (USA)
"
Maverick ,1994,7.0,"99,088","Action,Adventure,Comedy,20 May 1994 (USA)
"
Once ,2007,7.8,"108,458","Drama,Music,Romance,15 June 2007 (USA)
"
Florence Foster Jenkins ,2016,6.8,"48,957","Biography,Comedy,Drama,12 August 2016 (USA)
"
Syriana ,2005,6.9,"123,865","Drama,Thriller,9 December 2005 (USA)
"
I'm Not There ,2007,6.9,"55,650","Biography,Drama,Music,7 December 2007 (USA)
"
Flags of Our Fathers ,2006,7.1,"115,232","Action,Adventure,Drama,20 October 2006 (USA)
"
La Vie En Rose ,2007,7.6,"80,828","Biography,Drama,Music,20 July 2007 (USA)
"
In America ,2002,7.7,"39,880","Drama,6 February 2004 (USA)
"
Fly Away Home ,1996,6.8,"23,006","Adventure,Drama,Family,13 September 1996 (USA)
"
The Horse Whisperer ,1998,6.6,"38,204","Drama,Romance,Western,15 May 1998 (USA)
"
The Young Victoria ,2009,7.3,"56,337","Biography,Drama,History,8 January 2010 (USA)
"
Howards End ,1992,7.4,"27,700","Drama,Romance,26 February 1993 (USA)
"
Nine ,2009,5.8,"41,869","Drama,Musical,Romance,25 December 2009 (USA)
"
Kon-Tiki ,2012,7.2,"44,289","Adventure,Biography,Drama,26 April 2013 (USA)
"
Michael Collins ,1996,7.2,"28,814","Biography,Drama,Thriller,25 October 1996 (USA)
"
Spirit: Stallion of the Cimarron ,2002,7.1,"62,651","Animation,Adventure,Drama,24 May 2002 (USA)
"
Far from Heaven ,2002,7.3,"43,010","Drama,10 January 2003 (USA)
"
Wallace & Gromit: The Curse of the Were-Rabbit ,2005,7.4,"122,102","Animation,Adventure,Comedy,7 October 2005 (USA)
"
One Fine Day ,1996,6.5,"42,317","Comedy,Drama,Romance,20 December 1996 (USA)
"
Song of the Sea ,2014,8.1,"48,503","Animation,Adventure,Drama,20 November 2015 (USA)
"
Orlando ,1992,7.2,"13,637","Biography,Drama,Fantasy,9 June 1993 (USA)
"
Notes on a Scandal ,2006,7.4,"73,386","Crime,Drama,Romance,26 January 2007 (USA)
"
Country Strong ,2010,6.3,"16,916","Drama,Music,7 January 2011 (USA)
"
Half Nelson ,2006,7.2,"82,818","Drama,22 September 2006 (USA)
"
The Crucible ,1996,6.8,"34,365","Drama,History,27 November 1996 (USA)
"
Hitchcock ,2012,6.8,"70,672","Biography,Drama,Romance,14 December 2012 (USA)
"
Ghosts of Mississippi ,1996,6.7,"9,857","Drama,History,3 January 1997 (USA)
"
The Madness of King George ,1994,7.2,"14,943","Biography,Comedy,Drama,28 December 1994 (USA)
"
Beasts of the Southern Wild ,2012,7.3,"79,527","Adventure,Drama,Fantasy,20 December 2012 (Germany)
"
W.E. ,2011,6.3,"11,821","Drama,History,Romance,21 June 2012 (Germany)
"
North Country ,2005,7.3,"38,675","Drama,21 October 2005 (USA)
"
Kinsey ,2004,7.0,"46,845","Biography,Drama,Romance,7 January 2005 (USA)
"
American Splendor ,2003,7.4,"46,789","Biography,Comedy,Drama,12 September 2003 (USA)
"
The Breadwinner ,2017,7.7,"18,200","Animation,Drama,Family,17 November 2017 (USA)
"
Shadow of the Vampire ,2000,6.9,"39,327","Drama,Horror,26 January 2001 (USA)
"
The Pirates! Band of Misfits ,2012,6.7,"43,755","Animation,Adventure,Comedy,27 April 2012 (USA)
"
Schön ist die Jugendzeit ,1995,6.9,"5,589","Drama,Romance,War,8 March 1996 (USA)
"
My Life as a Zucchini ,2016,7.8,"20,095","Animation,Comedy,Drama,24 February 2017 (USA)
"
Toys ,1992,5.1,"29,911","Adventure,Comedy,Drama,18 December 1992 (USA)
"
Searching for Bobby Fischer ,1993,7.4,"28,564","Biography,Drama,11 August 1993 (USA)
"
The Savages ,2007,7.1,"35,323","Comedy,Drama,1 February 2008 (USA)
"
Mighty Joe Young ,1998,5.6,"26,953","Action,Adventure,Family,25 December 1998 (USA)
"
In the Valley of Elah ,2007,7.1,"67,669","Crime,Drama,Mystery,28 September 2007 (USA)
"
Kundun ,1997,7.0,"25,511","Biography,Drama,History,16 January 1998 (USA)
"
Deconstructing Harry ,1997,7.4,"41,426","Comedy,2 January 1998 (USA)
"
"Two Days, One Night ",2014,7.3,"43,692","Drama,30 October 2014 (Germany)
"
Bad Grandpa ,2013,6.5,"88,012","Comedy,25 October 2013 (USA)
"
The Paper ,1994,6.6,"12,575","Comedy,Drama,25 March 1994 (USA)
"
Passion Fish ,1992,7.4,"4,879","Drama,11 December 1992 (USA)
"
Affliction ,1997,7.0,"14,621","Drama,Mystery,Thriller,19 February 1999 (USA)
"
Husbands and Wives ,1992,7.5,"26,564","Comedy,Drama,Romance,18 September 1992 (USA)
"
The Invisible Woman ,2013,6.1,"9,093","Biography,Drama,History,24 April 2014 (Germany)
"
The Baader Meinhof Complex ,2008,7.4,"34,857","Action,Biography,Crime,25 September 2008 (Germany)
"
The Tempest ,2010,5.3,"7,298","Comedy,Drama,Fantasy,7 January 2011 (Brazil)
"
The Wedding Banquet ,1993,7.6,"13,528","Comedy,Drama,Romance,4 August 1993 (USA)
"
The Visitor ,2007,7.6,"40,993","Drama,23 May 2008 (USA)
"
The Triplets of Belleville ,2003,7.8,"49,675","Animation,Comedy,Drama,13 February 2004 (USA)
"
Postcards from the Edge ,1990,6.7,"14,946","Comedy,Drama,14 September 1990 (USA)
"
Havana ,1990,6.1,"6,995","Drama,Romance,War,14 December 1990 (USA)
"
Fearless ,1993,7.1,"20,743","Drama,Thriller,5 November 1993 (USA)
"
The Secret of Kells ,2009,7.6,"30,100","Animation,Adventure,Family,22 June 2016 (USA)
"
A Civil Action ,1998,6.6,"26,866","Drama,8 January 1999 (USA)
"
Happy-Go-Lucky ,2008,7.0,"36,948","Comedy,Drama,Romance,21 November 2008 (USA)
"
No Man's Land ,2001,7.9,"43,676","Comedy,Drama,War,20 February 2003 (Germany)
"
The Mirror Has Two Faces ,1996,6.6,"14,901","Comedy,Drama,Romance,15 November 1996 (USA)
"
The End of the Affair ,1999,7.1,"20,874","Drama,Romance,21 January 2000 (USA)
"
Primary Colors ,1998,6.6,"26,850","Comedy,Drama,20 March 1998 (USA)
"
Il Divo - Der Göttliche ,2008,7.3,"15,507","Biography,Drama,16 April 2009 (Germany)
"
The Mambo Kings ,1992,6.4,"4,964","Drama,Music,28 February 1992 (USA)
"
Rambling Rose ,1991,6.6,"4,535","Drama,20 September 1991 (USA)
"
Avalon ,1990,7.2,"5,523","Drama,19 October 1990 (USA)
"
The Barbarian Invasions ,2003,7.6,"27,830","Comedy,Crime,Drama,5 March 2004 (USA)
"
Little Voice ,1998,6.9,"15,489","Comedy,Drama,Music,4 December 1998 (USA)
"
Hilary and Jackie ,1998,7.3,"9,542","Biography,Drama,Music,5 February 1999 (USA)
"
Before the Rain ,1994,8.0,"13,491","Drama,War,24 February 1995 (USA)
"
Metropolitan ,1990,7.4,"9,141","Comedy,Drama,Romance,3 August 1990 (USA)
"
The Preacher's Wife ,1996,5.6,"10,659","Comedy,Drama,Fantasy,13 December 1996 (USA)
"
The Field ,1990,7.4,"5,352","Drama,Thriller,March 1991 (USA)
"
Mediterraneo ,1991,7.5,"13,366","Comedy,Drama,War,30 July 1992 (Germany)
"
The Wings of the Dove ,1997,7.1,"10,153","Drama,Romance,13 March 1998 (USA)
"
Music of the Heart ,1999,6.8,"11,669","Drama,Music,29 October 1999 (USA)
"
Theeb ,2014,7.2,"9,741","Adventure,Drama,Thriller,19 March 2015 (United Arab Emirates)
"
Tsotsi ,2005,7.2,"27,391","Crime,Drama,31 March 2006 (USA)
"
A War ,2015,7.1,"9,465","Crime,Drama,Thriller,14 April 2016 (Germany)
"
One True Thing ,1998,7.0,"11,068","Drama,18 September 1998 (USA)
"
Restoration ,1995,6.6,"8,716","Biography,Drama,History,2 February 1996 (USA)
"
LaLee's Kin: The Legacy of Cotton ,2001,7.7,210,"Documentary,TV Movie 19 January 2001
"
Liberators: Fighting on Two Fronts in World War II ,1992,4.7,57,"Documentary,War,TV Movie 11 November 1992
"
The Last Station ,2009,7.0,"17,500","Biography,Drama,Romance,26 February 2010 (USA)
"
My Family ,1995,7.3,"3,606","Drama,3 May 1995 (USA)
"
Zus & Zo ,2001,6.2,"1,557","Comedy,Fantasy,Romance,8 May 2002 (Netherlands)
"
Solomon & Gaenor ,1999,6.8,"1,131","Drama,Romance,30 April 1999 (UK)
"
Don't Tell ,2005,6.4,"2,329","Drama,Mystery,17 March 2006 (USA)
"
Children of Nature - Eine Reise ,1991,7.3,"1,354","Drama,Romance,8 October 1992 (Germany)
"
Hedd Wyn ,1992,7.0,342,"Drama,Romance,War,12 January 1996 (USA)
"
Eine Frau namens Yesterday ,2004,7.6,"2,180","Drama,3 September 2004 (South Africa)
"
Beyond Silence ,1996,7.4,"4,023","Drama,Music,5 June 1998 (USA)
"
Die Zwillinge ,2002,7.4,"6,337","Drama,Romance,War,7 October 2004 (Germany)
"
Everybody's Famous! ,2000,6.9,"3,071","Comedy,Drama,Music,7 February 2002 (Germany)
"
The Taste of Others ,2000,7.2,"8,805","Comedy,Drama,Romance,9 November 2000 (Germany)
"
Four Days in September ,1997,7.4,"4,420","Action,Drama,History,30 January 1998 (USA)
"
Tom & Viv ,1994,6.4,"1,494","Biography,Drama,Romance,2 December 1994 (USA)
"
Character ,1997,7.7,"10,245","Crime,Drama,Mystery,27 March 1998 (USA)
"
A Cat in Paris ,2010,6.9,"10,333","Animation,Adventure,Comedy,15 December 2010 (France)
"
Hors la loi ,2010,6.5,"3,605","Crime,Drama,War,22 September 2010 (France)
"
Alone Yet Not Alone ,2013,4.6,718,"Action,Drama,History,27 September 2013 (USA)
"
Unstrung Heroes ,1995,6.7,"2,936","Comedy,Drama,22 September 1995 (USA)
"
Georgia ,1995,6.6,"2,760","Drama,Music,8 December 1995 (USA)
"
Roommates ,1995,6.4,"1,694","Comedy,Drama,3 March 1995 (USA)
"
Monsieur Lazhar ,2011,7.5,"18,803","Comedy,Drama,12 April 2012 (Germany)
"
Afterglow ,1997,6.1,"3,205","Comedy,Drama,Romance,20 March 1998 (USA)
"
Chico & Rita ,2010,7.2,"8,449","Animation,Crime,Drama,30 August 2012 (Germany)
"
Mr. Saturday Night ,1992,5.9,"4,387","Comedy,Drama,25 September 1992 (USA)
"
Strawberry and Chocolate ,1993,7.4,"5,182","Comedy,Drama,Romance,20 January 1995 (USA)
"
For the Boys ,1991,6.4,"4,992","Comedy,Drama,Music,27 November 1991 (USA)
"
Paradise Now ,2005,7.4,"22,042","Crime,Drama,Thriller,18 November 2005 (USA)
"
Love Field ,1992,6.6,"3,541","Drama,12 February 1993 (USA)
"
Nirgendwo in Afrika ,2001,7.5,"12,150","Biography,Drama,History,16 May 2003 (USA)
"
Vatel ,2000,6.6,"7,224","Biography,Drama,Romance,31 May 2001 (Germany)
"
Mr. & Mrs. Bridge ,1990,6.6,"2,747","Drama,1 November 1990 (Germany)
"
Oscar and Lucinda ,1997,6.6,"6,346","Drama,Romance,31 December 1997 (USA)
"
Frozen River ,2008,7.1,"24,247","Crime,Drama,5 September 2008 (USA)
"
The Wild Thornberrys ,2002,5.6,"13,843","Animation,Adventure,Comedy,20 December 2002 (USA)
"
The Affair of the Necklace ,2001,6.1,"4,963","Drama,History,Romance,7 December 2001 (USA)
"
Topsy-Turvy ,1999,7.3,"11,438","Biography,Comedy,Drama,11 February 2000 (USA)
"
Ulee's Gold ,1997,7.0,"6,640","Drama,18 July 1997 (USA)
"
Tumbleweeds ,1999,6.7,"3,186","Comedy,Drama,3 March 2000 (UK)
"
Snow Falling on Cedars ,1999,6.7,"13,499","Drama,Mystery,Romance,7 January 2000 (USA)
"
A Better Life ,2011,7.2,"15,034","Drama,Romance,28 July 2011 (Thailand)
"
Timbuktu ,2014,7.1,"15,766","Drama,War,11 December 2014 (Germany)
"
Barney's Version ,2010,7.3,"23,676","Comedy,Drama,18 February 2011 (USA)
"
