title,year,rating,rating_count,genre
Bram Stoker's Dracula ,1992,7.4,"185,197","Horror,13 November 1992 (USA)
"
A Beautiful Mind ,2001,8.2,"819,954","Biography,Drama,4 January 2002 (USA)
"
Black Hawk Down ,2001,7.7,"355,588","Drama,History,War,18 January 2002 (USA)
"
True Lies ,1994,7.2,"230,836","Action,Comedy,Thriller,15 July 1994 (USA)
"
Skyfall ,2012,7.7,"616,799","Action,Adventure,Thriller,9 November 2012 (USA)
"
Moneyball ,2011,7.6,"349,341","Biography,Drama,Sport,23 September 2011 (USA)
"
Silver Linings Playbook ,2012,7.7,"646,950","Comedy,Drama,Romance,25 December 2012 (USA)
"
Atonement ,2007,7.8,"241,014","Drama,Mystery,Romance,11 January 2008 (USA)
"
American Sniper ,2014,7.3,"425,344","Action,Biography,Drama,16 January 2015 (USA)
"
Kong: Skull Island ,2017,6.6,"259,258","Action,Adventure,Fantasy,10 March 2017 (USA)
"
What's Eating Gilbert Grape ,1993,7.8,"208,206","Drama,4 March 1994 (USA)
"
Joy ,2015,6.6,"124,514","Biography,Drama,25 December 2015 (USA)
"
The Imitation Game ,2014,8.0,"660,615","Biography,Drama,Thriller,25 December 2014 (USA)
"
Frozen ,2013,7.4,"556,161","Animation,Adventure,Comedy,27 November 2013 (USA)
"
The Blind Side ,2009,7.6,"283,020","Biography,Drama,Sport,20 November 2009 (USA)
"
Life Is Beautiful ,1997,8.6,"598,936","Comedy,Drama,Romance,12 February 1999 (USA)
"
12 Monkeys ,1995,8.0,"564,438","Mystery,Sci-Fi,Thriller,5 January 1996 (USA)
"
Nocturnal Animals ,2016,7.5,"226,153","Drama,Thriller,9 December 2016 (USA)
"
The Post ,2017,7.2,"127,099","Biography,Drama,History,12 January 2018 (USA)
"
Midnight in Paris ,2011,7.7,"375,377","Comedy,Fantasy,Romance,10 June 2011 (USA)
"
Birdman or (The Unexpected Virtue of Ignorance) ,2014,7.7,"560,359","Comedy,Drama,14 November 2014 (USA)
"
Pirates of the Caribbean: Dead Man's Chest ,2006,7.3,"640,036","Action,Adventure,Fantasy,7 July 2006 (USA)
"
Star Wars: Episode II - Attack of the Clones ,2002,6.5,"620,700","Action,Adventure,Fantasy,16 May 2002 (USA)
"
The Sixth Sense ,1999,8.1,"887,301","Drama,Mystery,Thriller,6 August 1999 (USA)
"
Cars ,2006,7.1,"354,137","Animation,Comedy,Family,9 June 2006 (USA)
"
Life of Pi ,2012,7.9,"565,939","Adventure,Drama,Fantasy,21 November 2012 (USA)
"
Total Recall ,1990,7.5,"291,874","Action,Sci-Fi,Thriller,1 June 1990 (USA)
"
The Hunt for Red October ,1990,7.6,"173,183","Action,Adventure,Thriller,2 March 1990 (USA)
"
Pirates of the Caribbean: At World's End ,2007,7.1,"581,372","Action,Adventure,Fantasy,25 May 2007 (USA)
"
Tropic Thunder ,2008,7.0,"369,270","Action,Comedy,War,13 August 2008 (USA)
"
Pride & Prejudice ,2005,7.8,"244,187","Drama,Romance,23 November 2005 (USA)
"
First Man ,2018,7.3,"154,701","Biography,Drama,History,12 October 2018 (USA)
"
The Girl with the Dragon Tattoo ,2011,7.8,"408,187","Crime,Drama,Mystery,21 December 2011 (USA)
"
Children of Men ,2006,7.9,"451,291","Drama,Sci-Fi,Thriller,5 January 2007 (USA)
"
Waterworld ,1995,6.2,"175,295","Action,Adventure,Sci-Fi,28 July 1995 (USA)
"
Spectre ,2015,6.8,"373,321","Action,Adventure,Thriller,6 November 2015 (USA)
"
The Shape of Water ,2017,7.3,"352,350","Adventure,Drama,Fantasy,22 December 2017 (USA)
"
Hidden Figures ,2016,7.8,"190,232","Biography,Drama,History,6 January 2017 (USA)
"
Mulholland Drive ,2001,8.0,"308,926","Drama,Mystery,Thriller,19 October 2001 (USA)
"
Captain Fantastic ,2016,7.9,"179,034","Comedy,Drama,29 July 2016 (USA)
"
Unforgiven ,1992,8.2,"363,141","Drama,Western,7 August 1992 (USA)
"
True Grit ,2010,7.6,"301,576","Drama,Western,22 December 2010 (USA)
"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,6.9,"356,310","Adventure,Family,Fantasy,9 December 2005 (USA)
"
Zero Dark Thirty ,2012,7.4,"263,958","Drama,History,Thriller,11 January 2013 (USA)
"
The Hurt Locker ,2008,7.6,"411,190","Drama,Thriller,War,31 July 2009 (USA)
"
